keyword,window_start,window_end,estimated_count,source
thật,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
tỉnh,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
apple,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
kẻo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
mất,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
oan,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
bán,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
dự_kiến,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
ngang,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
niêm_yết,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
thế_hệ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
trước,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,9,voz
tâm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
thanks_thím,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
chia_sẻ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
mở_mang,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
tầm_mắt,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
thông_tin,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
khá,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
bình_thường,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
hãng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
nào,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
năm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
nay,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
xui_xẻo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
hướng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
thông_số,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
công_bố,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
chỉ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
thay_đổi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
dung_lượng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
ram,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
thiết_kế,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
giữ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
nguyên,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
cũ_rích,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
khóc,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
nóng_như,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
lò,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
gạch,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
chứ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
mát,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
ai,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
ghê,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
sinh_viên,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
it,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
ra,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
trường,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
liệu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
rất,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
đói,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
chi_tiết,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
bàn_phím,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
cơ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
tàu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
thực_sự,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
ngon_bổ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
lời,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
đồn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
tụt,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,8,voz
nghe,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
văn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
mấy,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
anh,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
bình_luận,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
ảo,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
biết,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
tầm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
tuổi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
tôm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
như_vậy,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
món,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
hời,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
chúc_mừng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
bác,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
vào,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
góc,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
nhờ_vả,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
tư_vấn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
quay,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
đầu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
chơi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
game,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
aaa,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
intel,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
gen,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
14,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
dính,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
bê_bối,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
xin,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
ý_kiến,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
thực_tế,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,7,voz
đang,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
đây,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
sóng_khỏe,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
nói_chung,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
ưng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
bụng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
thảo_luận,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
card,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
đồ,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
họa,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
cày,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
thời_điểm,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,6,voz
ăn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
sướng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
về,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
rước,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
cục,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
tức,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
android,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
15,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
cập_nhật,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
xong,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
máy,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
nóng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
ran,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
quần_cứu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,4,voz
vấn_đề,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
còn,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
tùy,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
thuộc,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
nhu_cầu,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
sử_dụng,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
mỗi,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
khó,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
chung,2026-04-29T05:00:00Z,2026-04-29T06:00:00Z,3,voz
